area,bathroom_num,bedroom_num,floor_count,floor_num,furnishing,locality,type,price
650,1,1,7,2,2,10,0,12000
380,1,1,4,3,1,10,0,12500
500,1,1,2,1,0,10,1,12000
600,1,1,8,5,2,10,0,12000
340,1,1,20,12,2,10,0,12500
340,1,1,7,2,2,10,0,12000
350,1,1,7,3,2,8,0,12500
275,1,1,7,6,2,10,0,12000
520,2,1,7,3,2,10,0,10200
535,2,1,7,2,2,10,0,12500
498,1,1,23,21,2,10,0,12000
350,1,1,4,2,2,10,0,12000
560,1,1,4,2,2,10,0,12000
450,1,1,12,5,2,5,0,11000
560,1,1,4,2,1,10,0,11000
650,1,1,7,2,1,10,0,12000
350,1,1,4,1,2,10,1,11000
300,2,1,25,10,2,10,0,12500
570,1,1,6,4,2,10,0,12000
550,1,1,4,1,2,10,0,12000
750,2,1,15,7,0,10,0,12000
575,2,1,7,4,1,10,0,12000
645,2,1,7,6,1,10,0,12500
629,1,1,7,6,2,10,0,11000
455,1,1,4,3,2,10,0,11000
400,1,1,7,6,2,10,0,12000
290,1,1,7,7,2,10,0,11000
270,1,1,7,3,2,10,0,11000
600,1,1,4,3,0,10,0,12000
640,1,1,7,3,2,10,0,12000
340,1,1,7,3,1,10,0,11000
350,1,1,4,3,2,10,0,12500
350,1,1,4,2,2,10,0,12000
585,2,1,7,7,2,10,0,12500
300,1,1,2,-2,2,1,0,11000
500,1,1,4,4,1,10,0,12200
541,1,1,4,4,0,10,0,12000
300,1,1,4,2,2,10,0,12000
282,1,1,7,7,2,10,0,12000
720,2,1,18,6,0,10,0,10437
750,1,1,4,1,0,10,0,12000
360,1,1,7,2,2,10,0,12500
500,1,1,8,6,1,10,0,11500
510,1,1,5,1,2,10,0,12000
225,1,1,4,1,2,10,0,11500
600,1,1,7,5,1,10,0,10500
300,1,1,7,2,2,7,0,12000
330,1,1,24,22,2,10,0,12000
525,1,1,4,1,2,10,0,12000
540,2,1,4,4,0,10,0,12000
500,1,1,4,0,2,10,0,12500
510,1,1,7,2,2,10,0,11000
180,1,1,4,0,1,10,0,12000
350,1,1,3,2,2,10,0,12500
450,1,1,20,4,2,10,0,12000
310,1,1,7,3,2,10,0,12500
